section,media_id,media,thumbnail,id,user,user_id,frame,dtype,x,y,width,height,url,Species,Disposition,Category,Fill Level,Count,Haul,Notes,Verification,Haul ID,Lat/Lon,Date/Time,Reviewer ID
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252266.png,139252266,Greg Sanborn,37,45379,box,663.155778894473,532.2857142857141,88.6707432072791,89.23221732396024,https://cloud.tator.io/85/annotation/2313416?frame=45379,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252267.png,139252267,Greg Sanborn,37,45563,box,688.8844221105524,513.6428571428571,68.34660374432627,68.2420469438818,https://cloud.tator.io/85/annotation/2313416?frame=45563,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252268.png,139252268,Greg Sanborn,37,45935,box,667.0150753768844,530.357142857143,82.40944505681026,60.53526748480875,https://cloud.tator.io/85/annotation/2313416?frame=45935,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252269.png,139252269,Greg Sanborn,37,46445,box,679.2361809045223,515.5714285714289,67.18583744410113,66.91397593232456,https://cloud.tator.io/85/annotation/2313416?frame=46445,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252270.png,139252270,Greg Sanborn,37,46703,box,689.5276381909542,511.0714285714289,76.11039350212275,75.01697843440968,https://cloud.tator.io/85/annotation/2313416?frame=46703,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252271.png,139252271,Greg Sanborn,37,47111,box,672.1608040201011,505.2857142857141,91.07522600492032,65.18968187775523,https://cloud.tator.io/85/annotation/2313416?frame=47111,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252272.png,139252272,Greg Sanborn,37,47567,box,685.6683417085428,515.5714285714289,70.36168331230796,41.09245800071486,https://cloud.tator.io/85/annotation/2313416?frame=47567,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252273.png,139252273,Greg Sanborn,37,47945,box,677.3065326633164,507.2142857142859,64.91198276620787,63.86161086619798,https://cloud.tator.io/85/annotation/2313416?frame=47945,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252274.png,139252274,Greg Sanborn,37,48372,box,686.3115577889447,518.1428571428571,43.296448883282174,43.92553318241386,https://cloud.tator.io/85/annotation/2313416?frame=48372,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252275.png,139252275,Greg Sanborn,37,48702,box,672.1608040201011,537.4285714285711,89.87422517089189,95.49886810437287,https://cloud.tator.io/85/annotation/2313416?frame=48702,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252276.png,139252276,Greg Sanborn,37,49326,box,686.3115577889447,529.7142857142859,60.110460559679105,62.97962587870839,https://cloud.tator.io/85/annotation/2313416?frame=49326,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252277.png,139252277,Greg Sanborn,37,49974,box,617.4874371859303,573.4285714285711,88.10055280573005,58.89836768735851,https://cloud.tator.io/85/annotation/2313416?frame=49974,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252278.png,139252278,Greg Sanborn,37,50184,box,688.8844221105524,556.0714285714289,63.542600408212735,57.03949720004768,https://cloud.tator.io/85/annotation/2313416?frame=50184,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252279.png,139252279,Greg Sanborn,37,51413,box,658.0100502512563,549.642857142857,67.39445350187123,55.061062790420515,https://cloud.tator.io/85/annotation/2313416?frame=51413,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252280.png,139252280,Greg Sanborn,37,51545,box,682.452261306533,551.5714285714289,75.3792649653605,61.5394972000476,https://cloud.tator.io/85/annotation/2313416?frame=51545,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_10/14 singleview,2313416,2021-10-15T19_24_18.154815.mp4,images/139252281.png,139252281,Greg Sanborn,37,52047,box,663.155778894473,503.357142857143,71.2562311138679,88.13576790182304,https://cloud.tator.io/85/annotation/2313416?frame=52047,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
