section,media_id,media,thumbnail,id,user,user_id,frame,dtype,x,y,width,height,url,Species,Disposition,Category,Fill Level,Count,Haul,Notes,Verification,Haul ID,Lat/Lon,Date/Time,Reviewer ID
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250611.png,139250611,Greg Sanborn,37,19445,box,673.6842105263155,556.8271954674221,91.9372354525632,86.55217090138368,https://cloud.tator.io/85/annotation/2312684?frame=19445,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250612.png,139250612,Greg Sanborn,37,20149,box,670.9622541201485,545.9490084985833,85.30094652972927,92.75123520572184,https://cloud.tator.io/85/annotation/2312684?frame=20149,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250613.png,139250613,Greg Sanborn,37,20668,box,685.2525252525248,522.8328611898015,83.29337239166642,97.73578218956472,https://cloud.tator.io/85/annotation/2312684?frame=20668,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250614.png,139250614,Greg Sanborn,37,20792,box,673.6842105263155,552.0679886685549,82.57899012356236,100.08473269618872,https://cloud.tator.io/85/annotation/2312684?frame=20792,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250615.png,139250615,Greg Sanborn,37,21704,box,673.6842105263155,541.189801699717,96.61635811706356,94.00110000621336,https://cloud.tator.io/85/annotation/2312684?frame=21704,"REDFISH, ACADIAN",KEPT,Baskets,0.75,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250616.png,139250616,Greg Sanborn,37,22292,box,688.6549707602343,542.5495750708214,83.98515921539558,94.9808879673588,https://cloud.tator.io/85/annotation/2312684?frame=22292,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250617.png,139250617,Greg Sanborn,37,22540,box,679.808612440192,533.7110481586402,89.32217553706279,94.46116955053895,https://cloud.tator.io/85/annotation/2312684?frame=22540,"REDFISH, ACADIAN",KEPT,Baskets,0.75,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250618.png,139250618,Greg Sanborn,37,22806,box,685.9330143540672,528.9518413597738,80.27332195787443,90.44702135346816,https://cloud.tator.io/85/annotation/2312684?frame=22806,"REDFISH, ACADIAN",KEPT,Baskets,0.75,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250619.png,139250619,Greg Sanborn,37,23076,box,671.6427432216909,541.189801699717,94.56359309025088,92.24642900702592,https://cloud.tator.io/85/annotation/2312684?frame=23076,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250620.png,139250620,Greg Sanborn,37,26883,box,628.771929824562,552.0679886685549,96.49208317300148,83.12291303737464,https://cloud.tator.io/85/annotation/2312684?frame=26883,"REDFISH, ACADIAN",KEPT,Baskets,0.75,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250621.png,139250621,Greg Sanborn,37,27015,box,677.0866560340249,546.6288951841364,92.04413194322983,98.50514218385759,https://cloud.tator.io/85/annotation/2312684?frame=27015,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250622.png,139250622,Greg Sanborn,37,27243,box,676.4061669324826,552.7478753541079,85.12104671495834,91.80127168082353,https://cloud.tator.io/85/annotation/2312684?frame=27243,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250623.png,139250623,Greg Sanborn,37,27563,box,668.9207868155238,545.9490084985833,93.7762074980425,98.01524820328487,https://cloud.tator.io/85/annotation/2312684?frame=27563,"REDFISH, ACADIAN",KEPT,Baskets,1.0,1,PRIOR 1,,Not verified,,,,
NE_Harmony_12/31 singleview,2312684,2022-01-01T16_12_14.910773.mp4,images/139250624.png,139250624,Greg Sanborn,37,27939,box,666.1988304093568,545.9490084985833,95.32838323808436,93.9210158718468,https://cloud.tator.io/85/annotation/2312684?frame=27939,"REDFISH, ACADIAN",KEPT,Baskets,0.75,1,PRIOR 1,,Not verified,,,,
